t, t_system, base_utc_sec, base_utc_nano, base_ypr_0,base_ypr_1,base_ypr_2,base_a_0,base_a_1,base_a_2,base_W_0,base_W_1,base_W_2,base_llh_0,base_llh_1,base_llh_2,base_status, base_sats, base_ane_0,base_ane_1,base_ane_2,ypr_0,ypr_1,ypr_2,a_0,a_1,a_2,W_0,W_1,W_2,rtk_x_0,rtk_x_1,rtk_x_2,rtk_v_0,rtk_v_1,rtk_v_2,llh_0,llh_1,llh_2,status, sats, utc_sec, utc_nano, ane1_0,ane1_1,ane1_2,ane2_0,ane2_1,ane2_2,idx1, idx2, 
0.049,233738,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,
0.07,233738,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,58.272525787353516,-1.4367386102676392,-5.234091758728027,-0.26362892985343933,0.8756027221679688,-9.653742790222168,-0.00019294675439596176,0.0010000390466302633,-0.0006851218640804291,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,
0.09,233738,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,58.27125549316406,-1.4346022605895996,-5.235123157501221,-0.20856866240501404,0.8861863017082214,-9.666097640991211,-0.0014999618288129568,0.0023824088275432587,-0.0018071522936224937,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,
0.11,233738,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,58.26785659790039,-1.4338479042053223,-5.23869514465332,-0.2349158525466919,0.8881130218505859,-9.653295516967773,-0.0026239282451570034,-0.001548044616356492,-0.0013602236285805702,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,
0.13,233738,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,58.26715087890625,-1.434754729270935,-5.2397894859313965,-0.25865688920021057,0.8953729867935181,-9.678398132324219,-0.0019130720756947994,-0.0015798760578036308,-0.0002641947939991951,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,
0.15,233738,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,58.260746002197266,-1.4376325607299805,-5.242929458618164,-0.23415981233119965,0.8762239813804626,-9.611421585083008,-0.002592044649645686,-0.0005204416811466217,0.00011060107499361038,0.0,0.0,0.0,0.0,0.0,0.0,37.77421569824219,-122.41838073730469,-5.604930400848389,4,9,1651982731,200000138,0.0,0.0,0.0,0.0,0.0,0.0,0,0,
0.171,233738,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,58.25459671020508,-1.4376888275146484,-5.2464823722839355,-0.24695882201194763,0.8969386219978333,-9.647323608398438,-0.003346129320561886,-0.0004887932445853949,-0.001298234798014164,0.0,0.0,0.0,0.0,0.0,0.0,37.77421569824219,-122.41838073730469,-5.604930400848389,4,9,1651982731,200000138,0.0,0.0,0.0,0.0,0.0,0.0,0,0,
0.191,233738,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,58.25089645385742,-1.4374648332595825,-5.247830867767334,-0.24966292083263397,0.8818645477294922,-9.677634239196777,-0.0018040034919977188,0.00022141868248581886,-0.0006002858281135559,0.0,0.0,0.0,0.0,0.0,0.0,37.77421569824219,-122.41838073730469,-5.604930400848389,4,9,1651982731,200000138,0.0,0.0,0.0,0.0,0.0,0.0,0,0,
0.211,233738,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,58.253395080566406,-1.4387614727020264,-5.244365692138672,-0.24479612708091736,0.8982560634613037,-9.669454574584961,0.0015694031026214361,-0.0016760267317295074,0.00032994896173477173,0.0,0.0,0.0,0.0,0.0,0.0,37.77421569824219,-122.41838073730469,-5.604930400848389,4,9,1651982731,200000138,0.0,0.0,0.0,0.0,0.0,0.0,0,0,
0.231,233738,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,58.25051498413086,-1.437275767326355,-5.240827560424805,-0.21685899794101715,0.8920362591743469,-9.650724411010742,0.0019301697611808777,0.0016401383327320218,0.00023376010358333588,0.0,0.0,0.0,0.0,0.0,0.0,37.77421569824219,-122.41838073730469,-5.604930400848389,4,9,1651982731,200000138,0.0,0.0,0.0,0.0,0.0,0.0,0,0,
0.251,233738,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,58.25051498413086,-1.437275767326355,-5.240827560424805,-0.21685899794101715,0.8920362591743469,-9.650724411010742,0.0019301697611808777,0.0016401383327320218,0.00023376010358333588,0.0,0.0,0.0,0.0,0.0,0.0,37.77421569824219,-122.41838073730469,-5.604930400848389,4,9,1651982731,200000138,0.0,0.0,0.0,0.0,0.0,0.0,0,0,
0.271,233738,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,58.240657806396484,-1.433773398399353,-5.238748550415039,-0.21887019276618958,0.8358585238456726,-9.673845291137695,0.01541778352111578,-0.0033008523751050234,-0.0005346434190869331,0.0,0.0,0.0,0.0,0.0,0.0,37.77421569824219,-122.41838073730469,-5.604930400848389,4,9,1651982731,200000138,0.0,0.0,0.0,0.0,0.0,0.0,0,0,
0.292,233738,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,58.244354248046875,-1.4349349737167358,-5.220681667327881,-0.24827635288238525,0.8579248189926147,-9.673476219177246,0.01875614933669567,-0.0023366790264844894,0.004106196574866772,0.0,0.0,0.0,0.0,0.0,0.0,37.77421569824219,-122.41838073730469,-5.604930400848389,4,9,1651982731,200000138,0.0,0.0,0.0,0.0,0.0,0.0,0,0,
0.312,233738,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,58.236122131347656,-1.431500792503357,-5.220053672790527,-0.18497991561889648,0.8895176649093628,-9.638625144958496,-0.012585993856191635,0.0039178766310215,-0.001188495196402073,0.0,0.0,0.0,0.0,0.0,0.0,37.77421569824219,-122.41838073730469,-5.604930400848389,4,9,1651982731,200000138,0.0,0.0,0.0,0.0,0.0,0.0,0,0,
0.332,233738,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,58.235076904296875,-1.4303414821624756,-5.234539985656738,-0.2777414619922638,0.871383011341095,-9.64942741394043,-0.010924082249403,-0.003170597832649946,-7.994193583726883e-05,0.0,0.0,0.0,0.0,0.0,0.0,37.77421569824219,-122.41838073730469,-5.604930400848389,4,9,1651982731,200000138,0.0,0.0,0.0,0.0,0.0,0.0,0,0,
0.352,233738,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,58.233970642089844,-1.4409573078155518,-5.234697341918945,-0.30397361516952515,0.8748108744621277,-9.67199993133545,0.0017595328390598297,-0.008437519893050194,-0.0006342893466353416,81.31800079345703,-58.20100021362305,0.0,-2.2790000438690186,-3.184000015258789,0.0,37.77421188354492,-122.41838073730469,-5.604930400848389,4,9,1651982731,400000138,0.0,0.0,0.0,0.0,0.0,0.0,0,0,
