t, t_system, base_utc_sec, base_utc_nano, base_ypr_0,base_ypr_1,base_ypr_2,base_a_0,base_a_1,base_a_2,base_W_0,base_W_1,base_W_2,base_llh_0,base_llh_1,base_llh_2,base_status, base_sats, base_ane_0,base_ane_1,base_ane_2,ypr_0,ypr_1,ypr_2,a_0,a_1,a_2,W_0,W_1,W_2,rtk_x_0,rtk_x_1,rtk_x_2,rtk_v_0,rtk_v_1,rtk_v_2,llh_0,llh_1,llh_2,status, sats, utc_sec, utc_nano, ane1_0,ane1_1,ane1_2,ane2_0,ane2_1,ane2_2,idx1, idx2, 
0.394,232714,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,63.79983139038086,1.442568302154541,-2.6990928649902344,0.2160097062587738,0.4550826847553253,-9.719594955444336,-0.0010810905368998647,-0.00047701504081487656,-0.0005642296746373177,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,
0.415,232714,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,63.79904556274414,1.4417997598648071,-2.698491334915161,0.2502492070198059,0.4567468762397766,-9.716508865356445,9.42471669986844e-05,0.0013754257233813405,-0.0007573375478386879,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,
0.435,232714,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,63.79841613769531,1.4423645734786987,-2.698848247528076,0.26328137516975403,0.45107340812683105,-9.746522903442383,-0.001571285305544734,5.068955942988396e-05,0.0006872741505503654,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,
0.455,232714,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,63.79841613769531,1.4423645734786987,-2.698848247528076,0.26328137516975403,0.45107340812683105,-9.746522903442383,-0.001571285305544734,5.068955942988396e-05,0.0006872741505503654,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,
0.475,232714,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,63.796600341796875,1.4431097507476807,-2.6989526748657227,0.2412130981683731,0.4639042317867279,-9.727749824523926,0.0008093448122963309,-0.0015732881147414446,-0.0005857404321432114,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,
0.496,232714,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,63.79606628417969,1.4420884847640991,-2.699796676635742,0.2595250904560089,0.470784455537796,-9.72638988494873,0.00031209434382617474,-0.0017706321086734533,-0.0005817059427499771,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,
0.516,232714,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,63.79528045654297,1.4407583475112915,-2.697101593017578,0.2522183954715729,0.4558304250240326,-9.750957489013672,0.0010752298403531313,-0.0011873864568769932,-0.00010002125054597855,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,
0.536,232714,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,63.79519271850586,1.440904140472412,-2.6953539848327637,0.224829763174057,0.4456975758075714,-9.752305030822754,0.00014172308146953583,-0.0005080702248960733,-1.0089017450809479e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,
0.557,232714,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,63.794551849365234,1.441871166229248,-2.695704936981201,0.252590537071228,0.4642186760902405,-9.750954627990723,-0.0003492345567792654,0.0014262538170441985,4.009157419204712e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,
0.577,232714,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,63.79335021972656,1.4439829587936401,-2.698240041732788,0.26104792952537537,0.43681973218917847,-9.720733642578125,-0.002916637808084488,0.0006662625819444656,-0.0001432737335562706,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,
0.597,232714,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,63.79264450073242,1.4430243968963623,-2.6996097564697266,0.22001637518405914,0.46409714221954346,-9.733542442321777,-0.0016316252294927835,-0.0028191322926431894,-0.000754084438085556,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,
0.618,232714,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,63.791011810302734,1.4406867027282715,-2.700178623199463,0.2561558783054352,0.453446626663208,-9.708340644836426,0.00034163345117121935,-0.0009981554467231035,-0.0016087712720036507,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,
0.638,232714,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,63.790103912353516,1.4403489828109741,-2.6996450424194336,0.27659186720848083,0.45214247703552246,-9.718973159790039,0.001222012098878622,0.00019751721993088722,-0.0004259990528225899,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,
0.658,232714,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,63.788970947265625,1.4432138204574585,-2.6997406482696533,0.25314173102378845,0.4536210894584656,-9.742232322692871,0.0002934511285275221,0.0012882216833531857,-0.0010228333994746208,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,
0.679,232714,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,63.78836441040039,1.4448829889297485,-2.6975252628326416,0.24565806984901428,0.4437842071056366,-9.721078872680664,0.0016243434511125088,-0.0002878005616366863,-0.0011973464861512184,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,
0.699,232714,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,63.788246154785156,1.4441498517990112,-2.69551682472229,0.25767022371292114,0.4491523802280426,-9.706378936767578,0.0017541334964334965,-0.001492140581831336,-0.0007241833955049515,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,
0.72,232714,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,63.7877082824707,1.4444968700408936,-2.69368577003479,0.24605941772460938,0.4559340476989746,-9.723739624023438,-8.003483526408672e-05,-0.0008786132093518972,-0.0003066081553697586,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,
0.74,232714,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,63.78647232055664,1.4441068172454834,-2.6969897747039795,0.23165768384933472,0.48221540451049805,-9.698419570922852,-0.004391556140035391,-0.0011071781627833843,-0.0016553187742829323,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,
