t, t_system, base_utc_sec, base_utc_nano, base_ypr_0,base_ypr_1,base_ypr_2,base_a_0,base_a_1,base_a_2,base_W_0,base_W_1,base_W_2,base_llh_0,base_llh_1,base_llh_2,base_status, base_sats, base_ane_0,base_ane_1,base_ane_2,ypr_0,ypr_1,ypr_2,a_0,a_1,a_2,W_0,W_1,W_2,rtk_x_0,rtk_x_1,rtk_x_2,rtk_v_0,rtk_v_1,rtk_v_2,llh_0,llh_1,llh_2,status, sats, utc_sec, utc_nano, ane1_0,ane1_1,ane1_2,ane2_0,ane2_1,ane2_2,idx1, idx2, 
0.051,232823,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,
0.072,232823,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,57.577938079833984,1.1447712182998657,-2.9354615211486816,0.19790488481521606,0.4810176491737366,-9.718420028686523,-0.0015039067948237062,-0.0008552235085517168,-0.001441899687051773,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,
0.092,232823,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,57.57307434082031,1.1451607942581177,-2.9357967376708984,0.19579264521598816,0.4682657718658447,-9.706154823303223,-0.00231713755056262,-0.0004496397450566292,-0.001860588788986206,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,
0.112,232823,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,57.566871643066406,1.144907832145691,-2.93638014793396,0.2198963165283203,0.5301496386528015,-9.73321533203125,0.0006952688563615084,-0.00028762267902493477,-0.000468941405415535,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,
0.132,232823,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,57.56761169433594,1.1455355882644653,-2.9373576641082764,0.17948868870735168,0.5030434131622314,-9.705917358398438,-0.00015156809240579605,-6.691785529255867e-05,-0.00177683774381876,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,
0.153,232823,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,57.56027603149414,1.1462228298187256,-2.936016082763672,0.19641566276550293,0.499433696269989,-9.721443176269531,0.0010477257892489433,-0.00010164175182580948,-0.0017722845077514648,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,
0.173,232823,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,57.55702590942383,1.1460422277450562,-2.934854745864868,0.20599821209907532,0.4908889830112457,-9.73965835571289,-0.0007505541434511542,0.001018801936879754,-0.0018168380483984947,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,
0.193,232823,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,57.550636291503906,1.146868109703064,-2.9354195594787598,0.23126621544361115,0.48904287815093994,-9.730079650878906,-0.0009213826851919293,-0.0007727365009486675,-0.0015266453847289085,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,
0.213,232823,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,57.54498291015625,1.1474074125289917,-2.936277151107788,0.18647582828998566,0.4952937364578247,-9.755439758300781,-0.0010542911477386951,0.0003253527684137225,0.000499362125992775,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,
0.234,232823,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,57.53858184814453,1.146658182144165,-2.9359183311462402,0.20796334743499756,0.4897046685218811,-9.720572471618652,0.0004407076630741358,0.00042273278813809156,-0.001954704523086548,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,
0.254,232823,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,57.53858184814453,1.146658182144165,-2.9359183311462402,0.20796334743499756,0.4897046685218811,-9.720572471618652,0.0004407076630741358,0.00042273278813809156,-0.001954704523086548,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,
0.274,232823,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,57.532447814941406,1.1469844579696655,-2.9403228759765625,0.20539629459381104,0.4863402843475342,-9.762813568115234,-0.0030680985655635595,0.00011329213157296181,-0.0012790178880095482,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,
0.295,232823,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,57.52592086791992,1.1466151475906372,-2.941633701324463,0.19737562537193298,0.49033647775650024,-9.729860305786133,-0.0011263677151873708,-0.0015579629689455032,-0.00127369724214077,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,
0.315,232823,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,57.5257682800293,1.1463714838027954,-2.9408037662506104,0.19007879495620728,0.486775666475296,-9.7011079788208,0.000561567721888423,-0.0002074497751891613,-0.0005095591768622398,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,
0.335,232823,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,57.522579193115234,1.1462458372116089,-2.940871477127075,0.19702139496803284,0.509931206703186,-9.741253852844238,-0.001391404657624662,-0.00024853390641510487,-0.0010402873158454895,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,
0.356,232823,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,57.519561767578125,1.1460716724395752,-2.9412076473236084,0.19151608645915985,0.48837801814079285,-9.707618713378906,-0.0007670944323763251,-0.0007874525617808104,-0.0022514378651976585,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,
0.376,232823,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,57.51512145996094,1.1466548442840576,-2.9382355213165283,0.21018996834754944,0.47779929637908936,-9.710339546203613,0.0021934700198471546,0.00010842597112059593,-0.0015719244256615639,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,
0.396,232823,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,57.51158142089844,1.1470927000045776,-2.9349114894866943,0.21230818331241608,0.5033354759216309,-9.716888427734375,0.0025793444365262985,-0.000359199708327651,-0.0009136265143752098,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,
